Update:,2015-02-21 00:07:41 +0900
緑Lv,黄Lv,赤Lv,楽曲名,BSC,BR,ADV,AR,EXT,ER
3,6,9,Heart of Gold,0,N,0,N,882810,A
3,6,9,ハートに火をつけて,0,N,0,N,0,N
3,5,8,HEART BEAT,0,N,0,N,0,N
5,6,9,HEART BEAT FORMULA,0,N,0,N,994008,SSS
3,5,8,HeartLatte,0,N,0,N,0,N
4,7,10,HYENA,0,N,0,N,950567,SS
4,7,9,白鳥の湖,0,N,0,N,864324,A
3,5,8,走れメロンパン,0,N,0,N,998524,SSS
3,7,9,passionate fate,0,N,0,N,962156,SS
6,8,9,Happy,0,N,0,N,930215,S
2,5,8,HAPPY☆きたかた,0,N,0,N,0,N
2,5,8,Happy Happy,0,N,0,N,0,N
3,6,9,Buddy,0,N,0,N,0,N
2,8,9,華爛漫 -Flowers-,0,N,0,N,930071,S
4,8,10,PUNISHER,0,N,0,N,972256,SS
4,5,8,Parachute,0,N,0,N,0,N
4,7,9,PULSE LASER,0,N,0,N,0,N
3,8,9,Baroque Hoedown,0,N,0,N,0,N
3,6,9,ハンガリー舞曲 第5番 (jubeat version),0,N,0,N,0,N
5,9,10,バンブーソード・ガール,0,N,969459,SS,949877,S
5,9,10,Beastie Starter,0,N,993826,SSS,853930,A
5,9,10,HEAT-BIT-HIT-BEAT,0,N,0,N,952352,SS
3,7,9,ヒーロー,0,N,0,N,0,N
2,5,8,ひかり,0,N,0,N,0,N
4,6,8,非公開日誌,997452,SSS,998845,SSS,982103,SSS
3,7,9,ViViD,0,N,0,N,0,N
3,6,8,ﾛ畢ﾛ畢ﾛ畢 -Bi Bi Bi-,0,N,0,N,0,N
2,5,9,101回目の呪い,0,N,0,N,0,N
3,9,10,HYDRA,0,N,0,N,952795,SS
3,6,8,Pink Rose,0,N,0,N,0,N
4,7,10,Far east nightbird,0,N,0,N,964533,SS
3,7,9,FIGHTERS,0,N,0,N,0,N
6,8,10,532nm,0,N,814953,B,936871,S
2,5,8,Find your way,0,N,0,N,0,N
4,7,10,FUNKY SUMMER BEACH,0,N,0,N,959415,SS
4,7,9,Fantasia,0,N,0,N,970627,SS
3,8,9,"FANTASTIC★DREAMER feat.SO-TA,Rhyzm Horse,Yoonji",0,N,0,N,0,N
4,7,9,ファントムヴァイブレーション,0,N,0,N,0,N
4,9,10,V,0,N,0,N,926810,S
1,7,8,V.I.P,0,N,0,N,0,N
3,7,8,全城熱愛 -Feel the Love-,0,N,0,N,0,N
3,6,8,Field on!,0,N,0,N,0,N
4,8,10,FUJIN Rumble,0,N,0,N,885358,A
3,5,9,フー・フローツ,0,N,0,N,987664,SSS
4,5,8,fellow,0,N,0,N,0,N
7,9,10,405nm (Ryu☆mix),0,N,0,N,909913,S
4,7,9,Follow Tomorrow,0,N,0,N,957444,SS
3,5,7,Follow Me,0,N,0,N,0,N
3,7,9,不可逆リプレイス,0,N,0,N,0,N
3,5,9,ふしぎなくすり,0,N,0,N,939772,S
5,8,10,PRANA,0,N,0,N,953875,SS
5,8,10,Fly with me,0,N,0,N,959739,SS
3,7,9,PRIME TIME,0,N,0,N,968061,SS
3,5,9,black bullet,0,N,0,N,965139,SS
4,7,9,Plum,0,N,0,N,0,N
6,9,10,FLOWER,0,N,817430,B,933769,S
5,8,10,Plan 8,0,N,0,N,944155,S
3,7,9,Brand New World,0,N,0,N,0,N
4,7,9,Flip Flap,0,N,0,N,977730,SS
5,9,10,BLUE STRAGGLER,0,N,0,N,923730,S
3,6,9,BLUE DRAGON,0,N,0,N,959121,SS
2,4,6,BLUE BIRD,0,N,0,N,0,N
2,5,8,ブルー・フィールド,0,N,0,N,0,N
4,7,10,Proof of the existence,0,N,0,N,919647,S
2,5,7,フレンズ,0,N,0,N,0,N
4,7,8,FRIENDSHIP,0,N,0,N,0,N
4,9,10,Broken,0,N,0,N,951887,SS
4,7,9,prop the world,0,N,0,N,958371,SS
4,7,9,Prophet Vibe,0,N,0,N,883450,A
3,7,9,From Noon Till Dawn feat.Tabu Zombie & Kunikazu Tanaka,0,N,0,N,0,N
3,7,8,Boom! Boom! Miracle Emotion,0,N,0,N,0,N
3,6,9,Baby Sweet Berry Love,0,N,0,N,962577,SS
5,8,9,Baby Bleep March,0,N,0,N,921963,S
5,6,8,bass 2 bass,0,N,0,N,955706,SS
3,5,9,HEKIREKI,0,N,0,N,0,N
5,8,10,HEAVENLY MOON,0,N,0,N,905123,S
4,7,9,heron,0,N,0,N,974668,SS
3,6,9,POINT ZERO,0,N,0,N,903760,S
3,6,9,防衛本脳,0,N,0,N,960758,SS
4,7,9,亡国のヒストリア,0,N,0,N,986571,SSS
5,8,10,Holy Snow,0,N,0,N,855038,A
3,6,9,ホーンテッド★メイドランチ,0,N,0,N,975255,SS
3,7,9,Born to be,0,N,0,N,0,N
2,6,8,僕は君に恋をした,0,N,0,N,0,N
2,5,7,僕らの永遠～何度生まれ変わっても、手を繋ぎたいだけの愛だから～,0,N,0,N,0,N
2,4,7,星に願いを,0,N,0,N,0,N
4,7,9,ほしふり,0,N,0,N,984645,SSS
4,8,9,ポチコの幸せな日常,0,N,0,N,0,N
5,7,8,HOT LIMIT,0,N,0,N,0,N
3,6,8,ポップミュージック論,0,N,0,N,972455,SS
2,5,8,Polaris,0,N,0,N,0,N
4,6,9,polygon,0,N,927194,S,955754,SS
3,6,8,滅びに至るエランプシス,0,N,0,N,983390,SSS
3,5,7,PONPONPON,0,N,0,N,0,N
3,5,8,マーメイド,0,N,0,N,0,N
3,6,8,my cosmic world,0,N,0,N,0,N
6,7,10,Mynarco,0,N,0,N,950828,SS
3,6,7,My HERO,0,N,0,N,0,N
3,7,9,マインド・ゲーム,0,N,0,N,946098,S
4,7,9,maximum the hormone,0,N,0,N,906323,S
7,8,10,Macuilxochitl,0,N,0,N,921294,S
5,8,10,Magnetic,0,N,0,N,950882,SS
4,8,10,Mother Ship,0,N,0,N,953904,SS
2,7,9,マジLOVE1000%,0,N,0,N,949124,S
3,7,9,マジLOVE2000%,0,N,0,N,0,N
3,7,9,マスターピース,0,N,0,N,770019,C
5,7,9,瞬,958847,SS,0,N,896249,A
2,5,8,MATATABISTEP,0,N,0,N,0,N
3,8,9,纒,0,N,0,N,729471,C
3,6,8,MAMORE!!!,0,N,0,N,0,N
4,7,9,回レ！雪月花,0,N,0,N,965438,SS
5,8,9,万華鏡,0,N,0,N,0,N
2,7,9,MITOれて！いばらきっしゅだ～りん,0,N,0,N,0,N
4,7,10,Mirage,0,N,0,N,929869,S
2,6,8,MirrorDance,0,N,0,N,0,N
4,6,8,milky ice bear,0,N,0,N,987196,SSS
3,5,9,Milchstraβe,0,N,0,N,0,N
4,7,10,Move That Body,0,N,0,N,955335,SS
4,7,9,めうめうぺったんたん！！,0,N,0,N,980318,SSS
2,5,9,滅亡天使 † にこきゅっぴん,0,N,0,N,980015,SSS
